f,new_date,reading,hours_skipped,reading_diff,jump
data-raw/raw_soil_data/2015_2/EM20068 4Nov15-1138.txt,2000-01-02T03:00:00Z,5331,-430362,1,1
data-raw/raw_soil_data/2015_1/EM20085_2015-04-30-1008.txt,2000-01-02T09:00:00Z,501,-129894,1,1
data-raw/raw_soil_data/2015_2/EM20085 4Nov15-1134.txt,2000-01-02T13:00:00Z,6756,-138712,1,1
data-raw/raw_soil_data/2015_2/EM20085 4Nov15-1134.txt,2000-01-03T05:00:00Z,6762,4,1,1
data-raw/raw_soil_data/2015_2/EM20085 4Nov15-1134.txt,2000-01-06T11:00:00Z,6799,4,1,1
data-raw/raw_soil_data/2015_2/EL5743 4Nov15-1828.txt,2002-01-27T21:00:00Z,1248,-119054,1,1
data-raw/raw_soil_data/2013_1/EM20070.txt,2013-05-11T19:00:00Z,2532,2,1,1
data-raw/raw_soil_data/2013_1/EM20085.txt,2013-05-11T19:00:00Z,2533,2,1,1
data-raw/raw_soil_data/2013_2/EM20086_2013_11_09.txt,2013-09-03T15:00:00Z,1342,4,1,1
data-raw/raw_soil_data/2013_2/EM20086_2013_11_09.txt,2013-09-04T17:00:00Z,1351,8,1,1
data-raw/raw_soil_data/2013_2/EM20086_2013_11_09.txt,2013-09-05T21:00:00Z,1359,12,1,1
data-raw/raw_soil_data/2014_1/12_13Apr14-1106.txt,2013-11-13T05:00:00Z,1398,6,1,1
data-raw/raw_soil_data/2014_1/11_12_C_13Apr14-1102.txt,2014-03-12T15:00:00Z,3591,-6,1,1
data-raw/raw_soil_data/2014_1/7_8_C_13Apr14-0740.txt,2014-03-12T15:00:00Z,3627,-6,1,1
data-raw/raw_soil_data/2014_1/8_13Apr14-1045.txt,2014-03-12T15:00:00Z,3627,-6,1,1
data-raw/raw_soil_data/2014_1/EM6843_13Apr14-0746.txt,2014-03-12T15:00:00Z,3626,-6,1,1
data-raw/raw_soil_data/2014_1/1_13Apr14-1120.txt,2014-03-12T21:00:00Z,1476,2,1,1
data-raw/raw_soil_data/2014_1/1_2_C_13Apr14-1116.txt,2014-03-12T21:00:00Z,1476,2,1,1
data-raw/raw_soil_data/2014_1/11_13Apr14-1110.txt,2014-03-12T21:00:00Z,3626,2,1,1
data-raw/raw_soil_data/2014_1/12_13Apr14-1106.txt,2014-03-12T21:00:00Z,2837,-6,1,1
